id,name,year,mean
0,CH4,1/1/70,26057.28061
1,CH4,1/1/71,25265.32349
2,CH4,1/1/72,26324.43472
3,CH4,1/1/73,26622.47604
4,CH4,1/1/74,26411.13743
5,CH4,1/1/75,27019.92255
6,CH4,1/1/76,27738.19264
7,CH4,1/1/77,28461.36603
8,CH4,1/1/78,28456.77332
9,CH4,1/1/79,29327.80613
10,CH4,1/1/80,29517.82885
11,CH4,1/1/81,28828.69368
12,CH4,1/1/82,30884.69686
13,CH4,1/1/83,30150.84764
14,CH4,1/1/84,29395.41301
15,CH4,1/1/85,29652.47423
16,CH4,1/1/86,30438.32555
17,CH4,1/1/87,31740.74759
18,CH4,1/1/88,30886.82114
19,CH4,1/1/89,31575.98399
20,CH4,1/1/90,36693.40426
21,CH4,1/1/91,35995.39267
22,CH4,1/1/92,35656.70157
23,CH4,1/1/93,35545.07853
24,CH4,1/1/94,35409.63351
25,CH4,1/1/95,35463.03665
26,CH4,1/1/96,35553.61257
27,CH4,1/1/97,35338.37696
28,CH4,1/1/98,35383.14136
29,CH4,1/1/99,35645.65445
30,CH4,1/1/00,35913.35079
31,CH4,1/1/01,36194.03141
32,CH4,1/1/02,36508.06283
33,CH4,1/1/03,36977.59162
34,CH4,1/1/04,37529.10995
35,CH4,1/1/05,37829.94764
36,CH4,1/1/06,38530.31414
37,CH4,1/1/07,39126.96335
38,CH4,1/1/08,39716.0733
39,CH4,1/1/09,39745.39267
40,CH4,1/1/10,40337.12042
41,CH4,1/1/11,40874.55497
42,CH4,1/1/12,41204.03141
43,CH4,1/1/13,41258.95288
44,CH4,1/1/14,41663.08901
45,CH4,1/1/15,41996.91099
46,CH4,1/1/16,42243.87435
47,CH4,1/1/17,42604.13613
48,CH4,1/1/18,42798.01047
49,CO2,1/1/60,52049.0219
50,CO2,1/1/61,51494.9803
51,CO2,1/1/62,52504.95933
52,CO2,1/1/63,55081.57154
53,CO2,1/1/64,55953.67057
54,CO2,1/1/65,58964.80774
55,CO2,1/1/66,61989.57466
56,CO2,1/1/67,64176.36581
57,CO2,1/1/68,67654.97921
58,CO2,1/1/69,72245.82022
59,CO2,1/1/70,78473.93175
60,CO2,1/1/71,81273.90374
61,CO2,1/1/72,84667.16772
62,CO2,1/1/73,89230.67327
63,CO2,1/1/74,89142.57848
64,CO2,1/1/75,89516.61248
65,CO2,1/1/76,94219.48573
66,CO2,1/1/77,97254.82871
67,CO2,1/1/78,100951.1864
68,CO2,1/1/79,103664.2023
69,CO2,1/1/80,103295.723
70,CO2,1/1/81,100713.1569
71,CO2,1/1/82,100390.092
72,CO2,1/1/83,101457.7749
73,CO2,1/1/84,104510.0425
74,CO2,1/1/85,108544.8274
75,CO2,1/1/86,110013.7755
76,CO2,1/1/87,113229.409
77,CO2,1/1/88,117841.9526
78,CO2,1/1/89,119871.2139
79,CO2,1/1/90,106966.4211
80,CO2,1/1/91,107401.0995
81,CO2,1/1/92,107107.5916
82,CO2,1/1/93,107791.5183
83,CO2,1/1/94,108357.9058
84,CO2,1/1/95,111451.3613
85,CO2,1/1/96,113809.2147
86,CO2,1/1/97,115640.3665
87,CO2,1/1/98,116237.9581
88,CO2,1/1/99,116785.7592
89,CO2,1/1/00,120379.5288
90,CO2,1/1/01,122421.623
91,CO2,1/1/02,124215.3403
92,CO2,1/1/03,129841.4136
93,CO2,1/1/04,135912.0419
94,CO2,1/1/05,141116.0733
95,CO2,1/1/06,145755.0785
96,CO2,1/1/07,151377.3298
97,CO2,1/1/08,152734.0314
98,CO2,1/1/09,151075.445
99,CO2,1/1/10,160257.801
100,CO2,1/1/11,165278.6911
101,CO2,1/1/12,167559.267
102,CO2,1/1/13,170707.8534
103,CO2,1/1/14,170869.7382
104,CO2,1/1/15,170137.5916
105,CO2,1/1/16,170123.2461
106,CO2,1/1/17,172245.6545
107,CO2,1/1/18,175806.2827
108,N2O,1/1/70,10789.45433
109,N2O,1/1/71,10116.86667
110,N2O,1/1/72,10877.5121
111,N2O,1/1/73,11093.7939
112,N2O,1/1/74,10850.95433
113,N2O,1/1/75,11293.17903
114,N2O,1/1/76,11697.22084
115,N2O,1/1/77,12245.55297
116,N2O,1/1/78,12376.91134
117,N2O,1/1/79,13148.85471
118,N2O,1/1/80,13258.71439
119,N2O,1/1/81,12789.55487
120,N2O,1/1/82,13619.576
121,N2O,1/1/83,13497.29784
122,N2O,1/1/84,13077.43024
123,N2O,1/1/85,13083.14246
124,N2O,1/1/86,13330.42067
125,N2O,1/1/87,14219.73306
126,N2O,1/1/88,13539.437
127,N2O,1/1/89,13780.91073
128,N2O,1/1/90,12406.70213
129,N2O,1/1/91,12226.42105
130,N2O,1/1/92,12192.73684
131,N2O,1/1/93,12119.10526
132,N2O,1/1/94,12602.78947
133,N2O,1/1/95,12892.94737
134,N2O,1/1/96,13118.31579
135,N2O,1/1/97,12964.42105
136,N2O,1/1/98,13029.63158
137,N2O,1/1/99,13037.10526
138,N2O,1/1/00,13083.78947
139,N2O,1/1/01,13147.47368
140,N2O,1/1/02,13351.52632
141,N2O,1/1/03,13382
142,N2O,1/1/04,13757.26316
143,N2O,1/1/05,13819.52632
144,N2O,1/1/06,13993.52632
145,N2O,1/1/07,14265.89474
146,N2O,1/1/08,14193.05263
147,N2O,1/1/09,14181.63158
148,N2O,1/1/10,14428.84211
149,N2O,1/1/11,14840.68063
150,N2O,1/1/12,14909.05759
151,N2O,1/1/13,14863.82199
152,N2O,1/1/14,15088.16754
153,N2O,1/1/15,15209.26702
154,N2O,1/1/16,15364.39791
155,N2O,1/1/17,15636.23037
156,N2O,1/1/18,15624.81675
204,PM2.5,1/1/90,29.31392015
205,PM2.5,1/1/95,28.95772192
206,PM2.5,1/1/00,28.9512707
207,PM2.5,1/1/05,28.45468971
208,PM2.5,1/1/10,28.51058908
209,PM2.5,1/1/11,28.78377838
