year,CH4,CO2,N2O,PM2.5
1960,,52049.0219,,
1961,,51494.9803,,
1962,,52504.95933,,
1963,,55081.57154,,
1964,,55953.67057,,
1965,,58964.80774,,
1966,,61989.57466,,
1967,,64176.36581,,
1968,,67654.97921,,
1969,,72245.82022,,
1970,26057.28061,78473.93175,10789.45433,
1971,25265.32349,81273.90374,10116.86667,
1972,26324.43472,84667.16772,10877.5121,
1973,26622.47604,89230.67327,11093.7939,
1974,26411.13743,89142.57848,10850.95433,
1975,27019.92255,89516.61248,11293.17903,
1976,27738.19264,94219.48573,11697.22084,
1977,28461.36603,97254.82871,12245.55297,
1978,28456.77332,100951.1864,12376.91134,
1979,29327.80613,103664.2023,13148.85471,
1980,29517.82885,103295.723,13258.71439,
1981,28828.69368,100713.1569,12789.55487,
1982,30884.69686,100390.092,13619.576,
1983,30150.84764,101457.7749,13497.29784,
1984,29395.41301,104510.0425,13077.43024,
1985,29652.47423,108544.8274,13083.14246,
1986,30438.32555,110013.7755,13330.42067,
1987,31740.74759,113229.409,14219.73306,
1988,30886.82114,117841.9526,13539.437,
1989,31575.98399,119871.2139,13780.91073,
1990,36693.40426,106966.4211,12406.70213,29.31392015
1991,35995.39267,107401.0995,12226.42105,
1992,35656.70157,107107.5916,12192.73684,
1993,35545.07853,107791.5183,12119.10526,
1994,35409.63351,108357.9058,12602.78947,
1995,35463.03665,111451.3613,12892.94737,28.95772192
1996,35553.61257,113809.2147,13118.31579,
1997,35338.37696,115640.3665,12964.42105,
1998,35383.14136,116237.9581,13029.63158,
1999,35645.65445,116785.7592,13037.10526,
2000,35913.35079,120379.5288,13083.78947,28.9512707
2001,36194.03141,122421.623,13147.47368,
2002,36508.06283,124215.3403,13351.52632,
2003,36977.59162,129841.4136,13382,
2004,37529.10995,135912.0419,13757.26316,
2005,37829.94764,141116.0733,13819.52632,28.45468971
2006,38530.31414,145755.0785,13993.52632,
2007,39126.96335,151377.3298,14265.89474,
2008,39716.0733,152734.0314,14193.05263,
2009,39745.39267,151075.445,14181.63158,
2010,40337.12042,160257.801,14428.84211,28.51058908
2011,40874.55497,165278.6911,14840.68063,28.78377838
2012,41204.03141,167559.267,14909.05759,28.17815871
2013,41258.95288,170707.8534,14863.82199,27.5539598
2014,41663.08901,170869.7382,15088.16754,26.52654505
2015,41996.91099,170137.5916,15209.26702,28.3210446
2016,42243.87435,170123.2461,15364.39791,26.96452829
2017,42604.13613,172245.6545,15636.23037,27.08317858
2018,42798.01047,175806.2827,15624.81675,
